04-12-2025 /  135 - 98 - 189
05-12-2025 /  680 - 48 - 170
06-12-2025 /  479 - 05 - 267
07-12-2025 /  *** - ** - ***
08-12-2025 /  167 - 45 - 230
09-12-2025 /  690 - 53 - 256
10-12-2025 /  149 - 43 - 490
11-12-2025 /  168 - 59 - 270
12-12-2025 /  117 - 97 - 449
13-12-2025 /  238 - 34 - 347
14-12-2025 /  *** - ** - ***
15-12-2025 /  380 - 12 - 570
16-12-2025 /  110 - 29 - 450
17-12-2025 /  270 - 90 - 235
18-12-2025 /  124 - 72 - 200
19-12-2025 /  399 - 13 - 157
20-12-2025 /  129 - 28 - 468
21-12-2025 /  *** - ** - ***
22-12-2025 /  370 - 08 - 350
23-12-2025 /  359 - 70 - 370
24-12-2025 /  267 - 55 - 140
25-12-2025 /  357 - 57 - 269
26-12-2025 /  168 - 52 - 147
27-12-2025 /  148 - 35 - 690
28-12-2025 /  *** - ** - ***
29-12-2025 /  678 - 15 - 447
30-12-2025 /  248 - 42 - 679
31-12-2025 /  160 - 72 - 129
01-01-2026 /  350 - 83 - 247
02-01-2026 /  139 - 33 - 247
03-01-2026 /  268 - 66 - 268
04-01-2026 /  *** - ** - ***
05-01-2026 /  680 - 48 - 468
06-01-2026 /  367 - 68 - 558
07-01-2026 /  479 - 00 - 136
08-01-2026 /  466 - 64 - 356
09-01-2026 /  112 - 46 - 349
10-01-2026 /  239 - 41 - 579
11-01-2026 /  *** - ** - ***
12-01-2026 /  458 - 75 - 159
13-01-2026 /  129 - 21 - 678
14-01-2026 /  128 - 18 - 279
15-01-2026 /  580 - 36 - 123
16-01-2026 /  235 - 05 - 267
17-01-2026 /  445 - 38 - 440
18-01-2026 /  *** - ** - ***
19-01-2026 /  300 - 31 - 489
20-01-2026 /  347 - 46 - 169
21-01-2026 /  570 - 29 - 577
22-01-2026 /  390 - 29 - 234
23-01-2026 /  340 - 70 - 370
24-01-2026 /  128 - 17 - 124
25-01-2026 /  *** - ** - ***
26-01-2026 /  *** - ** - ***
27-01-2026 /  236 - 16 - 259
